Craft Center
Ceramics
Electromechanical
Heavy chemical
Light chemicals
Metal and Aluminum
Precious stones
Plastics
Warehouses
Construction Materials
Sanitary Papers
Mineral Stones
Chemicals and non-single use plastics
Metal processing
Mechanical assembling
Mineral processing
Non-medicated cosmetics, soap and detergent
Packaging material
Stones and cement industries
Wood processing
Textile
Food and agro-processing
Food and agro processing
Not yet zoned 
Chemical based industries
Agro based industries
Non-specialized light industries 
Soap and cosmetics
Mechanical assembling 
Bonded warehouses
Agro-processing & animal feed 
Wood processing 
Food Processing
Animal feeds
Garment & leather
Surface active agents
Paper & sanitary
Plastics
Packaging
Mechanical
Cosmetics
Ceramics

